"","Date","Country","City","Killed","Injured","Description"
"158",2002-04-12,"Israel","Jerusalem",6,104,"Six people, including two Chinese nationals, are killed by a Palestinian suicide bomber at a bus stop in an attack that leaves one-hundred and four others injured."
"159",2002-04-12,"India","Kashmir",10,17,"Four separate Fedayeen attacks across the region leave ten innocents dead and at least seventeen others injured."
"160",2002-04-13,"India","Bonkoot",1,2,"A Mujahideen attack on a security patrol leaves one member dead."
"161",2002-04-14,"India","Pulwama",1,9,"A grenade lobbed onto the road by a militant Muslim kills a civilian and injures nine others."
"162",2002-04-15,"India","Doda",1,0,"A woman is cut down by Muslim terrorists."
"163",2002-04-16,"India","Srinagar",2,0,"The Mujahideen kills two civilians with an IED."
"164",2002-04-16,"India","Awantipora",2,4,"Two civilians are killed in a bomb blast at a market."
"165",2002-04-18,"India","Dooru",1,0,"A civilian is abducted and killed by Islamic terrorists."
"166",2002-04-20,"India","Milan",3,4,"The Mujahideen attacks a security patrol, killing three members."
"167",2002-04-20,"India","Sagarian Azmatabad",2,0,"Islamists kill a man and his grandmother at their residence."
"168",2002-04-21,"Pakistan","Karachi",1,0,"A physician succumbs to injuries suffered in a sectarian attack."
"169",2002-04-22,"India","Kashmir",3,0,"In separate attacks, two people are abducted and killed, and a woman is killed inside her home by Islamic militants."
"170",2002-04-22,"India","Nagam",2,0,"Two laborers are shot to death by Islamic terrorists."
"171",2002-04-23,"India","Shopian",1,3,"Four students are kidnapped and 'severely' tortured.  A 15-year-old dies and the others are freed."
"172",2002-04-23,"Bangladesh","Chittagong",1,0,"A Buddhist monk is stabbed to death by Islamic terrorists after returning home from prayers."
"173",2002-04-24,"Algeria","al-Jeije",16,0,"Fundamentalists kill a total of sixteen includes eight children and four women, all from the same family."
"174",2002-04-25,"India","Gharat Morh",1,2,"A civilian is killed when Islamic militants lob a bomb under a passenger bus.  Twenty-one others are injured."
"175",2002-04-25,"Pakistan","Lahore",12,25,"Radical Sunnis bomb a Shia ceremony, slaughtering twelve, including seven women and five children.  Twenty-five others suffer injury."
"176",2002-04-25,"India","Dharmsal",2,0,"Two civilians are abducted by militant Muslims.  Their bodies are recovered four days later."
"177",2002-04-25,"Algeria","Mashraat Sava",4,0,"Armed Islamic attack kills four people."
"178",2002-04-27,"Israel","Adora",4,7,"Palestinian terrorists dressed in IDF uniforms infiltrate a settlement and killed four civilians, including a 5-year old boy. Seven others were injured."
"179",2002-04-28,"Sudan","Shoba Karika",24,23,"An Arab militia attacks two villages, killing about two dozen African civilians and burning many houses.  At least that many are injured as well."
"180",2002-04-28,"Indonesia","Soya",12,6,"Muslims attack a Christian village with knives and guns. They are able to slaughter twelve people and hurt six more."
"181",2002-04-29,"India","Sangarwani Keller",1,0,"A civilian is abducted and murdered by the Mujahideen."
"182",2002-05-01,"Pakistan","Muzaffarabad",1,4,"A bombing kills a 5-year-old boy and injures four of his family members."
"183",2002-05-01,"Pakistan","Karachi",0,20,"Two blasts, occurring at a market and a nursery, injure twenty, including children."
"184",2002-05-01,"Bangladesh","Natore",1,25,"Islamic fundamentalists bomb a cinema, killing a young boy and injuring two dozen others."
"185",2002-05-02,"Algeria","Sedi Khaled",11,0,"Eleven civilians, including children, are massacred by Islamic fundamentalists."
"186",2002-05-02,"Algeria","Kasar Shalala",20,5,"Islamist attack on civilians in the Teyart region leaves twenty dead."
"187",2002-05-02,"Pakistan","Karachi",1,4,"A man is killed by a bomb in his own home.  Four family members are injured."
"188",2002-05-02,"India","Athwatoo",1,0,"A civilian is abducted and murdered by the Mujahideen."
"189",2002-05-03,"India","Bandipore",3,0,"Islamists behead two brothers and shoot another civilian dead in a separate attack."
"190",2002-05-04,"India","Madiyani",5,0,"Hizb-ul-Mujahideen murder five people, including two brothers and a father and son in an overnight raid."
"191",2002-05-05,"Pakistan","Karachi",1,0,"A Sunni activist is slain in a sectarian attack."
"192",2002-05-05,"India","Kashmir",2,0,"Two civilians are murdered by the Mujahideen in separate attacks (Hajipora & Budhal)."
